filename,true_label,predicted,correct,decision_value,fold,heatmap_mean,heatmap_max,heatmap_std
t216_cropped.JPG,0,0,1,-278.283853,4,0.100565,1.000000,0.185061
t47_cropped.JPG,0,0,1,-177.145304,4,0.089512,1.000000,0.192218
t59_cropped.JPG,0,1,0,823.168539,4,0.208479,1.000000,0.225141
t83_cropped.JPG,0,1,0,870.037741,4,0.000000,0.000000,0.000000
S11_cropped.JPG,1,0,0,-306.064859,4,0.068765,1.000000,0.168729
S17_cropped.JPG,1,1,1,427.892263,4,0.178643,1.000000,0.218891
S19_cropped.JPG,1,1,1,5798.770346,4,0.000000,0.000000,0.000000
S27_cropped.JPG,1,1,1,332.360441,4,0.044700,1.000000,0.140326
S28_cropped.JPG,1,1,1,140.864393,4,0.195465,1.000000,0.225026
S36_cropped.JPG,1,1,1,6131.287436,4,0.000000,0.000000,0.000000
